,Pinyin,Definition,Stroke count,Frequency rank,HSK
地,de,"earth; soil, ground; region",6,21,HSK3
而,ér,and; and then; and yet; but,6,36,HSK3
于,yú,"in, on, at; go to; surname",3,40,HSK3
自,zì,"self, private, personal; from",6,43,HSK3
发,fā,"issue, dispatch, send out; hair",5,47,HSK3
用,yòng,"use, employ, apply, operate; use",5,51,HSK3
行,xíng,"go; walk; move, travel; circulate",6,53,HSK3
种,zhǒng,"seed; race, breed; to plant",9,57,HSK3
成,chéng,"completed, finished, fixed",6,59,HSK3
方,fāng,"a square, rectangle; a region; local",4,60,HSK3
法,fǎ,"law, rule, regulation, statute; France, French",8,65,HSK3
如,rú,"if, supposing; as if; like, as",6,67,HSK3
当,dāng,"bear, accept, undertake; just",6,71,HSK3
定,dìng,"decide, settle, fix",8,77,HSK3
其,qí,"his, her, its, their; that",8,85,HSK3
主,zhǔ,"master, chief owner; host; lord",5,87,HSK3
理,lǐ,"reason, logic; manage",11,89,HSK3
心,xīn,"heart; mind, intelligence; soul",4,90,HSK3
只,zhǐ,"only, just, simply",5,97,HSK3
实,shí,"real, true; honest, sincere",8,100,HSK3
者,zhě,that which; he who; those who,8,103,HSK3
力,lì,"power, capability, influence",2,106,HSK3
把,bǎ,"hold, take; guard; regard as",7,110,HSK3
又,yòu,"and, also, again, in addition",2,126,HSK3
业,yè,"profession, business; GB radical 111",5,130,HSK3
重,zhòng,"heavy, weighty; double",9,140,HSK3
物,wù,"thing, substance, creature",8,142,HSK3
应,yīng,"should, ought to, must",7,144,HSK3
向,xiàng,"toward, direction, trend",6,146,HSK3
头,tóu,"head; top; chief, first; boss",5,147,HSK3
文,wén,"literature, culture, writing",4,148,HSK3
相,xiāng,"mutual, reciprocal, each other",9,152,HSK3
被,bèi,,10,154,HSK3
或,huò,"or, either, else; perhaps, maybe",8,160,HSK3
己,jǐ,"self, oneself; personal, private; 6th heavenly stem",3,162,HSK3
加,jiā,"add to, increase, augment",5,166,HSK3
特,tè,"special, unique, distinguished",10,173,HSK3
信,xìn,"trust, believe; letter",9,176,HSK3
化,huà,"change, convert, reform; -ize",4,178,HSK3
世,shì,generation; world; era,5,181,HSK3
位,wèi,"throne; position, post; rank, status; seat",7,182,HSK3
声,shēng,"sound, voice, noise; tone; music",7,195,HSK3
提,tí,hold in hand; lift in hand,12,196,HSK3
