Character,Strokes,Composition,Character1,Strokes1,Verification1,Character2,Strokes2,Verification2,Cangjie,Radical
一,1.0,一,一,1.0,,*,0.0,,M,*
丁,2.0,吕,一,1.0,,亅,1.0,,MN,一
丂,2.0,一,丂,2.0,,*,0.0,,MVS,一
七,2.0,一,七,2.0,,*,0.0,,JU,一
丄,2.0,一,丄,2.0,,*,0.0,,LM,一
丅,2.0,一,丅,2.0,,*,0.0,,ML,一
丆,2.0,吕,一,2.0,,丿,0.0,,MH,一
万,3.0,一,万,3.0,,*,0.0,,MS,一
丈,3.0,一,丈,3.0,,*,0.0,,JK,一
三,3.0,回,二,2.0,,一,1.0,,MMM,一
上,3.0,一,上,3.0,,*,0.0,,YM,一
下,3.0,吕,一,1.0,,卜,2.0,,MY,一
丌,3.0,一,丌,3.0,,*,0.0,,ML,一
不,4.0,一,不,4.0,,*,0.0,,MF,一
与,4.0,一,与,4.0,,*,0.0,,YSM,一
丏,4.0,一,丏,4.0,,*,0.0,,MLVS,一
丐,4.0,一,丐,4.0,,*,0.0,,MYVS,一
丑,4.0,一,丑,4.0,,*,0.0,,NG,一
丒,4.0,吕,刃,3.0,,一,1.0,,SKM,一
专,4.0,一,专,4.0,,*,0.0,,QNI,一
且,5.0,一,且,5.0,,*,0.0,,BM,一
丕,5.0,吕,不,4.0,,一,1.0,,MFM,一
世,4.0,一,世,4.0,,*,0.0,,PT,一
丗,4.0,一,丗,4.0,,*,0.0,,TJ,一
丘,5.0,一,丘,5.0,,*,0.0,,OM,一
丙,5.0,吕,一,1.0,,内,4.0,,MOB,一
业,5.0,一,业,5.0,,*,0.0,,TC,一
丛,5.0,咒,人,2.0,,一,1.0,,OOM,一
东,5.0,一,东,5.0,,*,0.0,,KD,一
丝,5.0,一,丝,5.0,,*,0.0,,VVM,一
丞,6.0,吕,氶,5.0,,一,1.0,,NEM,一
丟,6.0,吕,王,4.0,,厶,2.0,,MGI,一
丠,6.0,吕,北,5.0,,一,1.0,,LPM,一
両,6.0,一,両,6.0,,*,0.0,,MUB,一
丢,6.0,吕,壬,4.0,,厶,2.0,,HGI,一
丣,7.0,一,丣,7.0,,*,0.0,,MLLS,一
两,7.0,一,两,7.0,,*,0.0,,MOOB,一
严,7.0,一,严,7.0,,*,0.0,,MTCH,一
並,8.0,吕,丷,2.0,,亚,6.0,,TTC,一
丧,8.0,一,丧,8.0,,*,0.0,,GCV,一
丨,1.0,一,丨,1.0,,*,0.0,,L,*
丩,2.0,吅,丨,1.0,,*,1.0,,VL,丨
个,3.0,吕,人,2.0,,丨,1.0,,OL,丨
丫,3.0,一,丫,3.0,,*,0.0,,CL,丨
丬,3.0,吅,冫,2.0,,丨,1.0,,LIM,丨
中,4.0,+,口,3.0,,丨,1.0,,L,丨
丮,4.0,吕,乁,1.0,,㐄,3.0,*,NQ,丨
丯,4.0,+,彡,3.0,,丨,1.0,,QJ,丨
丰,4.0,一,丰,4.0,,*,0.0,,QJ,丨
丱,5.0,一,丱,5.0,,*,0.0,,VLLLM,丨
串,7.0,+,吕,6.0,,丨,1.0,,LL,丨
丳,8.0,+,串,6.0,,丿,2.0,,LLWW,丨
临,9.0,吅,丩,2.0,,𠂉丶4,7.0,?,LLOA,丨
丵,10.0,吕,业,5.0,,𢆉,5.0,,TCTJ,丨
丶,1.0,一,丶,1.0,,*,0.0,,I,*
丷,2.0,一,丷,2.0,,*,0.0,,IH,丶
丸,3.0,+,九,2.0,,丶,1.0,,KNI,丶
丹,4.0,一,丹,4.0,,*,0.0,,BY,丶
为,4.0,+,力,2.0,,丷,2.0,,IKSI,丶
主,5.0,+,丶,1.0,,王,4.0,,YG,丶
丼,5.0,+,井,4.0,,丶,1.0,,TTI,丶
丽,7.0,吕,一,1.0,,卪卪,6.0,?,MBIB,丶
举,9.0,吕,兴,6.0,,㐄,3.0,*,FCQ,丶
丿,1.0,一,丿,1.0,,*,0.0,,H,*
乀,1.0,一,乀,1.0,,*,0.0,,MO,丿
乁,1.0,一,乁,1.0,,*,0.0,,MO,丿
乂,2.0,一,乂,2.0,,*,0.0,,K,丿
乃,2.0,一,乃,2.0,,*,0.0,,NHS,丿
乄,2.0,一,乄,2.0,,*,0.0,,KU,丿
久,3.0,一,久,3.0,,*,0.0,,NO,丿
乆,3.0,一,乆,3.0,,*,0.0,,VO,丿
乇,3.0,吕,丿,1.0,,七,2.0,,HP,丿
么,3.0,吕,丿,1.0,,厶,2.0,,HI,丿
义,3.0,+,乂,2.0,,丶,1.0,,IK,丿
乊,3.0,吕,丿,1.0,,丷,2.0,,HC,丿
之,3.0,一,之,3.0,,*,0.0,,INO,丿
乌,4.0,一,乌,4.0,,*,0.0,,PVSM,丿
乍,5.0,一,乍,5.0,,*,0.0,,OS,丿
乎,5.0,一,乎,5.0,,*,0.0,,HFD,丿
乏,4.0,吕,丿,1.0,,之,3.0,,HINO,丿
乐,5.0,一,乐,5.0,,*,0.0,,HVD,丿
乑,6.0,一,乑,6.0,,*,0.0,,OHHO,丿
乒,6.0,+,丘,5.0,,丿,1.0,,OMH,丿
乓,6.0,+,丘,5.0,,丶,1.0,,OMI,丿
乔,6.0,吕,丿,1.0,,夰,5.0,,HKLL,丿
乕,7.0,吕,厈,5.0,?,卩,2.0,?,HQB,丿
乖,8.0,+,千,3.0,,北,5.0,,HJLP,丿
乗,9.0,+,禾,5.0,,廿,4.0,*,HDT,丿
乘,10.0,+,禾,5.0,,北,5.0,,HDLP,丿
乙,1.0,一,乙,1.0,,*,0.0,,NU,*
乚,1.0,一,乚,1.0,,*,0.0,,LU,乙
乛,1.0,一,乛,1.0,,*,0.0,,MH,乙
乜,2.0,一,乜,2.0,,*,0.0,,PS,乙
九,2.0,一,九,2.0,,*,0.0,,KN,乙
乞,3.0,吕,𠂉,2.0,?,乙,1.0,,ON,乙
也,3.0,+,乜,2.0,,丨,1.0,,PD,乙
习,3.0,一,习,3.0,,*,0.0,,SIM,乙
乡,3.0,一,乡,3.0,,*,0.0,,VVH,乙
乢,4.0,吅,山,3.0,,乚,1.0,,UU,乙
乣,4.0,吅,幺,3.0,,乚,1.0,,VIU,乙
乤,4.0,吕,下,3.0,,乙,1.0,,MYN,乙
乥,4.0,吕,乊,3.0,,乙,1.0,,HCN,乙
书,4.0,一,书,4.0,,*,0.0,,IDS,乙
乧,5.0,吕,斗,4.0,,乙,1.0,,YJN,乙
乨,6.0,吅,台,5.0,,乚,1.0,,IRU,乙
乩,6.0,吅,占,5.0,,乚,1.0,,YRU,乙
乪,6.0,吅,乙,1.0,,田,5.0,,NW,乙
乫,6.0,吕,加,5.0,,乙,1.0,,KRN,乙
乬,5.0,吕,巨,4.0,,乙,1.0,,SSN,乙
乭,6.0,吕,石,5.0,,乙,1.0,,MRN,乙
乮,6.0,吕,卯,5.0,,乙,1.0,,HLN,乙
乯,6.0,吕,乎,5.0,,乙,1.0,,HFDN,乙
买,6.0,吕,乛,1.0,,头,5.0,,NYK,乙
乱,7.0,吅,舌,6.0,,乚,1.0,,HRU,乙
乲,7.0,吕,次,6.0,,乙,1.0,,ION,乙
乳,8.0,吅,孚,7.0,,乚,1.0,,BDU,乙
乴,8.0,吕,折,7.0,,乙,1.0,,QLN,乙
乵,8.0,吅,辛,7.0,,乚,1.0,,YJU,乙
乶,8.0,吕,甫,7.0,,乙,1.0,,IBN,乙
乷,8.0,吕,沙,7.0,,乙,1.0,,EHN,乙
乸,8.0,吅,也,3.0,,母,5.0,,PDWYI,乙
乹,9.0,吅,𠦝,8.0,?,乚,1.0,,JJU,乙
乺,9.0,吕,所,8.0,,乙,1.0,,HLN,乙
乻,9.0,吕,於,8.0,,乙,1.0,,YYN,乙
乼,9.0,吕,注,8.0,,乙,1.0,,EGN,乙
乽,9.0,吕,者,8.0,,乙,1.0,,JAN,乙
乾,10.0,吅,車,7.0,,乞,3.0,,JJON,乙
乿,11.0,吅,爫糸,10.0,?,乚,1.0,,BFU,乙
亀,11.0,一,亀,11.0,,*,0.0,,NWLU,乙
亁,12.0,吅,十日干,9.0,?,乞,3.0,,JJON,乙
亂,13.0,吅,𤔔,12.0,,乚,1.0,,BBU,乙
亃,13.0,吅,粦,12.0,,乚,1.0,,FQU,乙
亄,13.0,吅,壹,12.0,,乚,1.0,,GTU,乙
亅,1.0,一,亅,1.0,,*,0.0,,LI,*
了,2.0,一,了,2.0,,*,0.0,,NN,亅
