,Pinyin,Definition,Stroke count,Frequency rank
的,de,"possessive, adjectival suffix",8,1
一,yī,"one; a, an; alone",1,2
是,shì,"indeed, yes, right; to be; demonstrative pronoun, this, that",9,3
不,bù,"no, not; un-; negative prefix",4,4
了,le,to finish; particle of completed action,2,5
在,zài,"be at, in, on; consist in, rest",6,6
人,rén,man; people; mankind; someone else,2,7
有,yǒu,"have, own, possess; exist",6,8
我,wǒ,"our, us, i, me, my, we",7,9
他,tā,"other, another; he, she, it",5,10
这,zhè,"this, the, here",7,11
个,gè,"numerary adjunct, piece; single",3,12
们,men,adjunct pronoun indicate plural,5,13
中,zhōng,"central; center, middle; in the midst of; hit (target); attain",4,14
来,lái,"come, coming; return, returning",7,15
上,shàng,"top; superior, highest; go up, send up",3,16
大,dà,"big, great, vast, large, high",3,17
和,hé,"harmony, peace; peaceful, calm",8,19
国,guó,"nation, country, nation-state",8,20
说,shuō,"speak, say, talk; scold, upbraid",9,24
时,shí,"time, season; era, age, period",7,25
出,chū,"go out, send out; stand; produce",5,28
会,huì,"assemble, meet together; meeting",6,29
你,nǐ,"you, second person pronoun",7,32
对,duì,"correct, right; facing, opposed",5,33
生,shēng,"life, living, lifetime; birth",5,34
能,néng,"to be able; can, permitted to; ability",10,35
子,zi,"offspring, child; fruit, seed of; 1st terrestrial branch",3,37
那,nà,"that, that one, those",6,38
下,xià,"under, underneath, below; down; inferior; bring down",3,42
年,nián,,6,45
后,hòu,"queen, empress, sovereign; (simp. for 後) behind, rear, after",6,48
作,zuò,"make; work; compose, write; act, perform",7,49
里,lǐ,unit of distance; village; lane,7,50
家,jiā,"house, home, residence; family",10,56
多,duō,"much, many; more than, over",6,61
么,me,interrogative particle; repetition of a tune small; tender,3,63
去,qù,"go away, leave, depart",5,64
学,xué,"learning, knowledge; school",8,66
都,dōu,"metropolis, capital; all, the whole; elegant, refined",10,68
同,tóng,"same, similar; together with",6,69
现,xiàn,"appear, manifest, become visible",8,70
没,méi,"not, have not, none; drown, sink",7,72
面,miàn,"face; surface; plane; side, dimension",9,74
起,qǐ,"rise, stand up; go up; begin",10,75
看,kàn,"look, see; examine, scrutinize",9,76
天,tiān,"sky, heaven; god, celestial",4,78
分,fēn,divide; small unit of time etc.,4,79
好,hǎo,"good, excellent, fine; well",6,82
小,xiǎo,"small, tiny, insignificant",3,83
些,xiē,"little, few; rather, somewhat",8,86
样,yàng,"shape, form, pattern, style",10,88
她,tā,"she, her",6,91
本,běn,"root, origin, source; basis",5,92
前,qián,"in front, forward; preceding",9,93
开,kāi,"open; initiate, begin, start",4,94
想,xiǎng,"think, speculate, plan, consider",13,99
机,jī,desk; machine; moment,6,111
十,shí,"ten, tenth; complete; perfect",2,112
工,gōng,"labor, work; worker, laborer",3,118
明,míng,"bright, light, brilliant; clear",8,121
三,sān,three,3,125
关,guān,frontier pass; close; relation,6,127
点,diǎn,"dot, speck, spot; point, degree",9,128
高,gāo,"high, tall; lofty, elevated",10,134
很,hěn,"very, quite, much",9,138
见,jiàn,"see, observe, behold; perceive",4,153
什,shén,"file of ten soldiers; mixed, miscellaneous",4,156
二,èr,two; twice,2,157
果,guǒ,fruit; result,8,165
西,xī,"west(ern); westward, occident",6,167
月,yuè,moon; month; KangXi radical 74,4,169
话,huà,"speech, talk, language; dialect",8,170
回,huí,"return, turn around; a time",6,172
老,lǎo,"old, aged; experienced",6,179
先,xiān,"first, former, previous",6,188
儿,ér,"son, child; KangXi radical 10",2,192
东,dōng,"east, eastern, eastward",5,194
水,shuǐ,"water, liquid, lotion, juice",4,202
名,míng,"name, rank, title, position",6,203
几,jǐ,small table,2,211
认,rèn,"recognize, know, understand",4,213
系,xì,"system; line, link, connection",7,216
气,qì,"steam, vapor; KangXi radical 84",4,217
打,dǎ,"strike, hit, beat; fight; attack",5,223
女,nǚ,"woman, girl; feminine; rad. 38",3,224
四,sì,four,5,226
电,diàn,electricity; electric; lightning,5,230
少,shǎo,"few, less, inadequate",4,233
太,tài,"very, too, much; big; extreme",4,240
再,zài,"again, twice, re-",6,242
做,zuò,"work, make; act",11,246
期,qī,period of time; date; time limit,12,253
五,wǔ,five; surname,4,279
书,shū,"book, letter, document; writings",4,282
听,tīng,"hear; understand; obey, comply",7,285
住,zhù,"reside, live at, dwell, lodge; stop",7,309
北,běi,north; northern; northward,5,315
觉,jué,to wake up from sleep; conscious,9,327
师,shī,"teacher, master, specialist",6,333
