,Pinyin,Definition,Stroke count,Frequency rank,HSK
为,wèi,"do, handle, govern, act; be",4,18,HSK2
到,dào,"go to, arrive, been to",8,22,HSK2
以,yǐ,"by means of; thereby, therefore; consider as; in order to",4,23,HSK2
要,yào,"necessary, essential; necessity",9,26,HSK2
就,jiù,"just, simply; to come, go to; to approach, near",12,27,HSK2
可,kě,"may, can, -able; possibly",5,30,HSK2
也,yě,also; classical final particle of strong affirmation or identity,3,31,HSK2
得,dé,"obtain, get, gain, acquire",11,39,HSK2
着,zhe,"make move, take action",11,41,HSK2
过,guò,"pass, pass through, go across",6,46,HSK2
道,dào,"path, road, street; method, way",12,52,HSK2
所,suǒ,"place, location; numerary adjunct",8,54,HSK2
然,rán,"yes, certainly; pledge, promise",12,55,HSK2
事,shì,"affair, matter, business; to serve; accident, incident",8,58,HSK2
经,jīng,classic works; pass through,8,62,HSK2
动,dòng,"move, happen; movement, action",6,73,HSK2
还,hái,"still, yet, also, besides",7,80,HSK2
进,jìn,"advance, make progress, enter",7,81,HSK2
但,dàn,"only; but, however, yet, still",7,95,HSK2
因,yīn,"cause, reason; by; because (of)",6,96,HSK2
从,cóng,"from, by, since, whence, through",4,98,HSK2
日,rì,sun; day; daytime,4,101,HSK2
意,yì,"thought, idea, opinion; think",13,104,HSK2
它,tā,it; other,5,107,HSK2
长,zhǎng,long; length; excel in; leader,4,109,HSK2
第,dì,"sequence, number; grade, degree",11,114,HSK2
公,gōng,"fair, equitable; public; duke",4,115,HSK2
已,yǐ,already; finished; stop,3,117,HSK2
情,qíng,"feeling, sentiment, emotion",11,120,HSK2
知,zhī,"know, perceive, comprehend",8,123,HSK2
正,zhèng,"right, proper, correct",5,129,HSK2
外,wài,"out, outside, external; foreign",5,131,HSK2
两,liǎng,"two, both, pair, couple; ounce",7,133,HSK2
间,jiān,"midpoint, space; place, locality",7,135,HSK2
问,wèn,"ask about, inquire after",6,137,HSK2
最,zuì,"most, extremely, exceedingly",12,139,HSK2
手,shǒu,hand,4,143,HSK2
体,tǐ,"body; group, class, body, unit; inferior",7,149,HSK2
等,děng,,12,158,HSK2
新,xīn,"new, recent, fresh, modern",13,161,HSK2
身,shēn,"body; trunk, hull; rad. no. 158",7,164,HSK2
表,biǎo,"show, express, manifest, display",8,177,HSK2
给,gěi,"give; by, for",9,180,HSK2
次,cì,"order, sequence; next",6,183,HSK2
门,mén,"gate, door, entrance, opening",3,185,HSK2
常,cháng,"common, normal, frequent, regular",11,187,HSK2
教,jiào,"teach, class",11,191,HSK2
比,bǐ,"to compare, liken; comparison; than",4,199,HSK2
员,yuán,"member; personnel, staff member",7,200,HSK2
真,zhēn,"real, actual, true, genuine",10,204,HSK2
走,zǒu,"walk, go on foot; run; leave",7,207,HSK2
条,tiáo,"clause, condition; string, stripe",7,214,HSK2
题,tí,"forehead; title, headline; theme",15,218,HSK2
别,bié,"separate, other; do not",7,222,HSK2
报,bào,"report, tell, announce",7,234,HSK2
务,wù,"affairs, business; must, should",5,245,HSK2
场,chǎng,"open space, field, market",6,249,HSK2
件,jiàn,numerary adjunct for article; matter,6,250,HSK2
