字(Character),构件(Decomposition),理据打分(Rationality Score),拼音(pinyin),繁体(Traditional Chinese character),网络中的层次(Network Level),字频1(Frequency 1),字频排序1(Frequency Order 1),学习顺序1(Learning Order 1),字频2(Frequency 2),字频排序2(Frequency Order 2),学习顺序2(Learning Order 2)
人,人,5,rén,人,,0.7822,8,1,0.965354115,7,1
口,口,5,kǒu,口,,0.0922,238,2,0.099189672,212,2
的,白勺,1,dí dì de,的,,4.8867,1,3,4.094325318,1,3
止,止,2,zhǐ,止,,0.0293,664,6,0.035183765,596,4
白,白,1,bái bó,白,,0.0776,291,4,0.07686042,286,5
勹,勹,1,bāo,勹,,0,3938,5,0,4017,6
勺,勹,4,sháo zhuó,勺,,0.0009,3008,7,0.000701277,3239,7
土,土,1,tǔ,土,,0.0513,431,8,0.041244105,515,8
日,日,4,rì mì,日,,0.1241,169,10,0.187987311,101,9
木,木,2,mù,木,,0.033,608,9,0.028130165,694,10
一,一,5,yī,一,,1.4062,2,12,1.57656778,2,11
又,又,1,yòu,又,,0.1808,110,11,0.156551271,126,12
舌,干口,1,shé guā,舌,,0.0055,1658,14,0.003881573,1958,13
辵,彳止,2,chuò,辵,,0,3938,15,2.584E-06,3998,14
手,手,4,shǒu,手,,0.1243,168,17,0.144928257,143,15
是,旦止,2,shì,是,,1.3155,3,16,1.351646352,3,16
言,舌,1,yán yàn yín,言,,0.0615,368,20,0.062173386,355,17
大,大,5,dà dài tài,大,,0.5842,11,18,0.544724606,17,18
水,水,3,shuǐ,水,,0.1793,112,13,0.102805617,202,19
不,不,3,bù fǒu fōu,不,,1.0707,4,21,1.156521205,4,20
心,心,2,xīn,心,,0.2021,94,22,0.2026976,90,21
刀,刀,4,dāo,刀,,0.0109,1196,19,0.0141041,1067,22
也,也,1,yě,也,,0.3743,31,30,0.367051293,31,23
目,目,2,mù,目,,0.0835,273,24,0.093448706,239,24
女,女,1,nǚ rǔ,女,,0.0754,303,26,0.095702405,224,25
了,了,3,liǎo le,了,,0.9517,5,32,1.099991629,5,26
彳,彳,3,chì,彳,,0,3938,25,0,4017,27
屮,屮,5,chè cǎo,屮,,0,3938,23,0,4017,28
在,才土,3,zài,在,,0.9258,6,35,1.038314874,6,29
儿,人,4,ér,儿,,0.1207,175,28,0.107401904,192,30
寸,寸,2,cùn,寸,,0.0036,1948,29,0.004163221,1904,31
旦,日,5,dàn,旦,,0.007,1497,33,0.009596183,1300,32
干,干,1,gān gàn hán,干,,0.0854,264,34,0.062305683,353,33
有,𠂇肉,4,yǒu yòu,有,,0.9082,7,36,0.920913177,8,34
宀,宀,4,mián,宀,,0,3938,38,0,4017,35
囗,囗,5,wéi guó,囗,,0,3938,39,0,4017,36
我,我,2,wǒ,我,,0.576,14,58,0.873391683,9,37
糸,糸,4,mì sī,糸,,0,3938,27,0,4017,38
肉,肉,3,ròu rù,肉,,0.0176,906,37,0.015927318,1009,39
他,人也,1,tā,他,,0.4916,19,69,0.824665563,10,40
子,子,5,zǐ zi,子,,0.3674,32,31,0.331073229,37,41
阝,阜邑,1,fǔ,阝,,0,3938,47,0,4017,42
这,辵文,1,zhè yàn zhèi,這,,0.7619,9,44,0.802072234,11,43
八,八,2,bā,八,,0.0563,398,42,0.047905982,451,44
中,中,5,zhōng zhòng,中,,0.546,16,45,0.570810369,14,45
十,十,1,shí,十,,0.1889,105,46,0.175166389,112,46
力,力,1,lì,力,,0.2065,91,40,0.185596146,106,47
禾,禾,5,hé,禾,,0.0012,2789,41,0.000483711,3500,48
才,才,1,cái,才,,0.0996,214,53,0.093912779,235,49
亼,亼,2,jí kǒu,亼,,0,3938,49,0,4017,50
匕,匕,1,bǐ,匕,,0.0003,3656,48,0.000717298,3217,51
玉,玉,1,yù,玉,,0.0173,915,52,0.016164522,1001,52
文,文,1,wén wèn,文,,0.1434,149,51,0.141713853,148,53
门,门,4,mén,門,,0.0953,229,65,0.109955856,185,54
个,个,2,gè gě,个,,0.5724,15,60,0.619925112,12,55
上,上,2,shàng shǎng,上,,0.6031,10,55,0.55274046,16,56
们,人门,5,mén men,們,,0.4763,22,76,0.60456264,13,57
生,屮土,3,shēng,生,,0.4905,20,43,0.352463482,34,58
犬,犬,1,quǎn,犬,,0.0014,2693,54,0.00157206,2644,59
来,来,1,lái lài,來,,0.5776,12,57,0.557853532,15,60
𠂇,𠂇,1,zuǒ,𠂇,,0,3938,61,0,4017,61
攴,卜又,3,pū,攴,,0,3938,62,1.18861E-05,3981,62
火,火,5,huǒ huō,火,,0.0492,444,56,0.050520915,433,63
厂,厂,1,chǎng ān hàn,厂,,0.0403,520,50,0.017295765,963,64
为,为,1,wéi wèi,爲,,0.5351,18,63,0.536958359,18,65
可,丂口,2,kě kè,可,,0.3477,39,77,0.373691465,30,66
夕,夕,3,xī xì,夕,,0.0033,2014,68,0.003630416,2003,67
卩,卩,1,jié bù,卩,,0,3938,74,0,4017,68
和,禾口,5,hé hè huó huò hú,和,,0.5765,13,59,0.522193291,19,69
到,至刀,3,dào,到,,0.4656,24,75,0.498715743,22,70
己,己,3,jǐ,己,,0.0993,215,80,0.12965829,162,71
国,囗玉,1,guó,國,,0.4351,25,82,0.509214232,20,72
卜,卜,5,bǔ bo bó,卜,,0.0029,2125,72,0.003773048,1979,73
地,土也,1,dì de,地,,0.5375,17,64,0.500945153,21,74
以,人,2,yǐ,以,,0.4695,23,70,0.470598497,23,75
艸,屮,5,cǎo zào,艸,,0,3938,71,5.167E-07,4016,76
斤,斤,1,jīn,斤,,0.0084,1371,78,0.004322908,1866,77
田,田,5,tián,田,,0.0266,706,67,0.023713203,778,78
说,言兑,2,shuō shuì yuè tuō,說,,0.3911,29,94,0.452175107,24,79
工,工,1,gōng,工,,0.2585,62,66,0.164095817,118,80
月,月,3,yuè,月,,0.0857,262,102,0.124320933,169,81
时,日寸,1,shí,時,,0.4314,26,83,0.430756947,25,82
羊,羊,1,yáng xiáng,羊,,0.0098,1257,81,0.009179654,1337,83
去,去,1,qù,去,,0.2402,69,92,0.246129256,64,84
要,覀女,3,yào yāo yǎo,要,,0.4838,21,73,0.419118429,26,85
冖,冖,1,mì,冖,,0,3938,93,0,4017,86
正,止,1,zhèng zhēng,正,,0.1506,138,90,0.153386996,129,87
邑,囗卩,2,yì è,邑,,0.0006,3277,107,0.000828923,3109,88
阜,阜,1,fù,阜,,0.0007,3168,106,0.000562779,3385,89
出,屮凵,3,chū,出,,0.3991,28,86,0.390305074,28,90
贝,贝,2,bèi,貝,,0.0084,1371,85,0.012751673,1133,91
里,田土,3,lǐ,里,,0.2932,53,84,0.277924462,50,92
就,京尤,3,jiù,就,,0.4224,27,87,0.398497152,27,93
见,冂儿,1,jiàn xiàn,見,,0.1206,176,89,0.139056544,153,94
史,史,1,shǐ,史,,0.0567,392,119,0.046753034,456,95
至,至,2,zhì dié,至,,0.0706,319,109,0.084536746,267,96
之,之,1,zhī,之,,0.2389,70,134,0.314723697,44,97
云,云,3,yún,云,,0.0278,680,79,0.028169958,692,98
